activity_id,workstream,description,owner,planned_duration_days,normal_cost_eur,risk_category,readiness_category,criticality_class
A0001,Product Engineering,Product Engineering activity 0001,Owner-01,3,85485.8,Engineering,Product Engineering,critical
A0002,Product Engineering,Product Engineering activity 0002,Owner-02,6,125514.03,Supplier,Product Engineering,high
A0003,Product Engineering,Product Engineering activity 0003,Owner-03,6,135609.73,Equipment,Product Engineering,medium
A0004,Product Engineering,Product Engineering activity 0004,Owner-04,7,69354.65,Resource,Product Engineering,low
A0005,Product Engineering,Product Engineering activity 0005,Owner-05,6,78582.57,Quality,Product Engineering,critical
A0006,Product Engineering,Product Engineering activity 0006,Owner-06,5,21545.31,Engineering,Product Engineering,high
A0007,Product Engineering,Product Engineering activity 0007,Owner-07,7,160588.22,Supplier,Product Engineering,medium
A0008,Product Engineering,Product Engineering activity 0008,Owner-08,11,150339.56,Equipment,Product Engineering,low
A0009,Product Engineering,Product Engineering activity 0009,Owner-09,6,97964.57,Resource,Product Engineering,critical
A0010,Product Engineering,Product Engineering activity 0010,Owner-10,8,124553.78,Quality,Product Engineering,high
A0011,Product Engineering,Product Engineering activity 0011,Owner-11,6,98784.61,Engineering,Product Engineering,medium
A0012,Product Engineering,Product Engineering activity 0012,Owner-12,9,60747.74,Supplier,Product Engineering,low
A0013,Product Engineering,Product Engineering activity 0013,Owner-13,10,79366.02,Equipment,Product Engineering,critical
A0014,Product Engineering,Product Engineering activity 0014,Owner-14,9,211272.7,Resource,Product Engineering,high
A0015,Product Engineering,Product Engineering activity 0015,Owner-15,12,148622.22,Quality,Product Engineering,medium
A0016,Product Engineering,Product Engineering activity 0016,Owner-16,13,134541.08,Engineering,Product Engineering,low
A0017,Product Engineering,Product Engineering activity 0017,Owner-17,10,87688.1,Supplier,Product Engineering,critical
A0018,Product Engineering,Product Engineering activity 0018,Owner-18,8,100346.44,Equipment,Product Engineering,high
A0019,Product Engineering,Product Engineering activity 0019,Owner-19,6,24940.58,Resource,Product Engineering,medium
A0020,Product Engineering,Product Engineering activity 0020,Owner-20,10,162722.5,Quality,Product Engineering,low
A0021,Product Engineering,Product Engineering activity 0021,Owner-21,15,82293.74,Engineering,Product Engineering,critical
A0022,Product Engineering,Product Engineering activity 0022,Owner-22,25,174987.56,Supplier,Product Engineering,high
A0023,Product Engineering,Product Engineering activity 0023,Owner-23,7,39822.13,Equipment,Product Engineering,medium
A0024,Product Engineering,Product Engineering activity 0024,Owner-24,13,124910.22,Resource,Product Engineering,low
A0025,Product Engineering,Product Engineering activity 0025,Owner-25,14,82977.21,Quality,Product Engineering,critical
A0026,Product Engineering,Product Engineering activity 0026,Owner-26,18,48021.21,Engineering,Product Engineering,high
A0027,Product Engineering,Product Engineering activity 0027,Owner-27,7,196318.27,Supplier,Product Engineering,medium
A0028,Product Engineering,Product Engineering activity 0028,Owner-28,9,108218.1,Equipment,Product Engineering,low
A0029,Product Engineering,Product Engineering activity 0029,Owner-29,19,96847.19,Resource,Product Engineering,critical
A0030,Product Engineering,Product Engineering activity 0030,Owner-30,3,164103.53,Quality,Product Engineering,high
A0031,Product Engineering,Product Engineering activity 0031,Owner-31,16,28019.5,Engineering,Product Engineering,medium
A0032,Product Engineering,Product Engineering activity 0032,Owner-32,9,155710.4,Supplier,Product Engineering,low
A0033,Product Engineering,Product Engineering activity 0033,Owner-33,5,30684.78,Equipment,Product Engineering,critical
A0034,Product Engineering,Product Engineering activity 0034,Owner-34,10,219383.13,Resource,Product Engineering,high
A0035,Product Engineering,Product Engineering activity 0035,Owner-35,6,20137.25,Quality,Product Engineering,medium
A0036,Product Engineering,Product Engineering activity 0036,Owner-36,5,48467.88,Engineering,Product Engineering,low
A0037,Product Engineering,Product Engineering activity 0037,Owner-01,14,32104.39,Supplier,Product Engineering,critical
A0038,Product Engineering,Product Engineering activity 0038,Owner-02,8,142792.85,Equipment,Product Engineering,high
A0039,Product Engineering,Product Engineering activity 0039,Owner-03,9,74843.93,Resource,Product Engineering,medium
A0040,Product Engineering,Product Engineering activity 0040,Owner-04,15,131329.87,Quality,Product Engineering,low
A0041,Product Engineering,Product Engineering activity 0041,Owner-05,7,160880.6,Engineering,Product Engineering,critical
A0042,Product Engineering,Product Engineering activity 0042,Owner-06,9,129977.1,Supplier,Product Engineering,high
A0043,Product Engineering,Product Engineering activity 0043,Owner-07,16,13666.47,Equipment,Product Engineering,medium
A0044,Product Engineering,Product Engineering activity 0044,Owner-08,8,208375.32,Resource,Product Engineering,low
A0045,Product Engineering,Product Engineering activity 0045,Owner-09,8,177809.74,Quality,Product Engineering,critical
A0046,Product Engineering,Product Engineering activity 0046,Owner-10,10,166657.25,Engineering,Product Engineering,high
A0047,Product Engineering,Product Engineering activity 0047,Owner-11,15,22336.6,Supplier,Product Engineering,medium
A0048,Product Engineering,Product Engineering activity 0048,Owner-12,7,63549.57,Equipment,Product Engineering,low
A0049,Product Engineering,Product Engineering activity 0049,Owner-13,11,13699.68,Resource,Product Engineering,critical
A0050,Product Engineering,Product Engineering activity 0050,Owner-14,7,140188.81,Quality,Product Engineering,high
